TIME,collisions,multicast,rx_bytes,rx_compressed,rx_crc_errors,rx_dropped,rx_errors,rx_fifo_errors,rx_frame_errors,rx_length_errors,rx_missed_errors,rx_nohandler,rx_over_errors,rx_packets,tx_aborted_errors,tx_bytes,tx_carrier_errors,tx_compressed,tx_dropped,tx_errors,tx_fifo_errors,tx_heartbeat_errors,tx_packets,tx_window_errors
06/29/2022_23:30:51,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11158421,0,0,564,0,0,0,72668,0
06/29/2022_23:34:05,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11159719,0,0,564,0,0,0,72679,0
06/29/2022_23:37:19,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11160545,0,0,564,0,0,0,72686,0
06/29/2022_23:40:32,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11161607,0,0,564,0,0,0,72695,0
06/29/2022_23:43:46,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11162433,0,0,564,0,0,0,72702,0
06/29/2022_23:47:00,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11163613,0,0,564,0,0,0,72712,0
06/29/2022_23:50:13,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11164793,0,0,564,0,0,0,72722,0
06/29/2022_23:53:27,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11165737,0,0,564,0,0,0,72730,0
06/29/2022_23:56:41,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11166917,0,0,564,0,0,0,72740,0
06/29/2022_23:59:54,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11167861,0,0,564,0,0,0,72748,0
06/30/2022_00:03:08,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11169041,0,0,564,0,0,0,72758,0
06/30/2022_00:06:22,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11169867,0,0,564,0,0,0,72765,0
06/30/2022_00:09:35,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11171047,0,0,564,0,0,0,72775,0
06/30/2022_00:12:49,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11171991,0,0,564,0,0,0,72783,0
06/30/2022_00:16:02,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11173171,0,0,564,0,0,0,72793,0
06/30/2022_00:19:16,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11174233,0,0,564,0,0,0,72802,0
06/30/2022_00:22:30,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11175177,0,0,564,0,0,0,72810,0
06/30/2022_00:25:43,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11176357,0,0,564,0,0,0,72820,0
06/30/2022_00:28:57,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11177183,0,0,564,0,0,0,72827,0
06/30/2022_00:32:10,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11178363,0,0,564,0,0,0,72837,0
06/30/2022_00:35:24,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11179189,0,0,564,0,0,0,72844,0
06/30/2022_00:38:38,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11180487,0,0,564,0,0,0,72855,0
06/30/2022_00:41:51,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11181313,0,0,564,0,0,0,72862,0
06/30/2022_00:45:05,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11182611,0,0,564,0,0,0,72873,0
06/30/2022_00:48:19,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11183909,0,0,564,0,0,0,72884,0
06/30/2022_00:51:32,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11184735,0,0,564,0,0,0,72891,0
06/30/2022_00:54:46,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11186033,0,0,564,0,0,0,72902,0
06/30/2022_00:58:00,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11186859,0,0,564,0,0,0,72909,0
06/30/2022_01:01:13,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11188039,0,0,564,0,0,0,72919,0
06/30/2022_01:04:27,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11188983,0,0,564,0,0,0,72927,0
06/30/2022_01:07:41,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11190163,0,0,564,0,0,0,72937,0
06/30/2022_01:10:54,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11190989,0,0,564,0,0,0,72944,0
06/30/2022_01:14:08,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11192169,0,0,564,0,0,0,72954,0
06/30/2022_01:17:21,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11193113,0,0,564,0,0,0,72962,0
06/30/2022_01:20:35,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11194411,0,0,564,0,0,0,72973,0
06/30/2022_01:23:49,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11195591,0,0,564,0,0,0,72983,0
06/30/2022_01:27:02,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11196417,0,0,564,0,0,0,72990,0
06/30/2022_01:30:16,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11197715,0,0,564,0,0,0,73001,0
06/30/2022_01:33:30,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11198541,0,0,564,0,0,0,73008,0
06/30/2022_01:36:43,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11199721,0,0,564,0,0,0,73018,0
06/30/2022_01:39:57,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11200665,0,0,564,0,0,0,73026,0
06/30/2022_01:43:10,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11201845,0,0,564,0,0,0,73036,0
06/30/2022_01:46:24,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11203025,0,0,564,0,0,0,73046,0
06/30/2022_01:49:38,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11203851,0,0,564,0,0,0,73053,0
06/30/2022_01:52:51,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11205031,0,0,564,0,0,0,73063,0
06/30/2022_01:56:05,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11205857,0,0,564,0,0,0,73070,0
06/30/2022_01:59:18,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11207037,0,0,564,0,0,0,73080,0
06/30/2022_02:02:32,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11207981,0,0,564,0,0,0,73088,0
06/30/2022_02:05:46,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11209279,0,0,564,0,0,0,73099,0
06/30/2022_02:08:59,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11210223,0,0,564,0,0,0,73107,0
06/30/2022_02:12:13,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11211521,0,0,564,0,0,0,73118,0
06/30/2022_02:15:27,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11212465,0,0,564,0,0,0,73126,0
06/30/2022_02:18:40,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11213645,0,0,564,0,0,0,73136,0
06/30/2022_02:21:54,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11214471,0,0,564,0,0,0,73143,0
06/30/2022_02:25:07,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11215769,0,0,564,0,0,0,73154,0
