Mem: 227612K used, 571952K free, 108K shrd, 0K buff, 22956K cached
CPU:  0.0% usr  8.3% sys  0.0% nic 83.3% idle  0.0% io  0.0% irq  8.3% sirq
Load average: 0.08 0.04 0.01 1/425 493
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
  165     2 root     SW       0  0.0   0  0.0 [irq/213-dma-gra]
  166     2 root     SW       0  0.0   0  0.0 [irq/214-mem-att]
  167     2 root     SW       0  0.0   0  0.0 [irq/149-bcl-lvl]
  168     2 root     SW       0  0.0   0  0.0 [irq/150-bcl-lvl]
  169     2 root     SW       0  0.0   0  0.0 [irq/151-bcl-lvl]
  170     2 root     IW<      0  0.0   0  0.0 [ipv6_addrconf]
  183     2 root     SW       0  0.0   0  0.0 [irq/216-chgr-er]
  185     2 root     SW       0  0.0   0  0.0 [irq/217-chg-sta]
  187     2 root     SW       0  0.0   0  0.0 [irq/223-otg-fai]
  189     2 root     SW       0  0.0   0  0.0 [irq/226-high-du]
  190     2 root     SW       0  0.0   0  0.0 [irq/227-input-c]
  191     2 root     SW       0  0.0   0  0.0 [irq/229-switche]
  192     2 root     SW       0  0.0   0  0.0 [irq/230-bat-tem]
  193     2 root     SW       0  0.0   0  0.0 [irq/231-bat-ov]
  194     2 root     SW       0  0.0   0  0.0 [irq/232-bat-low]
  195     2 root     SW       0  0.0   0  0.0 [irq/233-bat-the]
  196     2 root     SW       0  0.0   0  0.0 [irq/234-bat-ter]
  197     2 root     SW       0  0.0   0  0.0 [irq/237-usbin-c]
  198     2 root     SW       0  0.0   0  0.0 [irq/238-usbin-v]
  199     2 root     SW       0  0.0   0  0.0 [irq/239-usbin-u]
  200     2 root     SW       0  0.0   0  0.0 [irq/240-usbin-o]
  201     2 root     SW       0  0.0   0  0.0 [irq/241-usbin-p]
  202     2 root     SW       0  0.0   0  0.0 [irq/243-usbin-s]
  203     2 root     SW       0  0.0   0  0.0 [irq/244-usbin-i]
  204     2 root     SW       0  0.0   0  0.0 [irq/246-dcin-uv]
  205     2 root     SW       0  0.0   0  0.0 [irq/247-dcin-ov]
  206     2 root     SW       0  0.0   0  0.0 [irq/248-dcin-pl]
  207     2 root     SW       0  0.0   0  0.0 [irq/250-dcin-po]
  208     2 root     SW       0  0.0   0  0.0 [irq/251-dcin-en]
  209     2 root     SW       0  0.0   0  0.0 [irq/252-typec-o]
  210     2 root     SW       0  0.0   0  0.0 [irq/254-typec-c]
  211     2 root     SW       0  0.0   0  0.0 [irq/255-typec-v]
  212     2 root     SW       0  0.0   0  0.0 [irq/257-typec-a]
  213     2 root     SW       0  0.0   0  0.0 [irq/258-typec-l]
  214     2 root     SW       0  0.0   0  0.0 [irq/260-wdog-sn]
  215     2 root     SW       0  0.0   0  0.0 [irq/261-wdog-ba]
  216     2 root     SW       0  0.0   0  0.0 [irq/263-aicl-do]
  217     2 root     SW       0  0.0   0  0.0 [irq/264-smb-en]
  218     2 root     SW       0  0.0   0  0.0 [irq/265-temp-ch]
  219     2 root     SW       0  0.0   0  0.0 [irq/119-qcom,te]
  220     2 root     SW       0  0.0   0  0.0 [irq/129-qcom,te]
  221     2 root     IW<      0  0.0   0  0.0 [etr_pcie]
  228     2 root     SW       0  0.0   0  0.0 [irq/141-sig-tx]
  229     2 root     SW       0  0.0   0  0.0 [irq/142-sig-rx]
  230     2 root     SW       0  0.0   0  0.0 [irq/60-pwr_even]
  231     2 root     SW       0  0.0   0  0.0 [irq/59-dp_hs_ph]
  232     2 root     SW       0  0.0   0  0.0 [irq/61-dm_hs_ph]
  233     2 root     SW       0  0.0   0  0.0 [irq/62-ss_phy_i]
  234     2 root     SW       0  0.0   0  0.0 [irq/44-arm-smmu]
  235     2 root     IW<      0  0.0   0  0.0 [usb_bam_wq]
  316     2 root     SW       0  0.0   0  0.0 [irq/48-arm-smmu]
  320     2 root     SW       0  0.0   0  0.0 [irq/49-arm-smmu]
  322     2 root     SW       0  0.0   0  0.0 [irq/50-arm-smmu]
  358     2 root     IW<      0  0.0   0  0.0 [ipa_interrupt_w]
  360     2 root     IW<      0  0.0   0  0.0 [ipawq36]
  363     2 root     IW<      0  0.0   0  0.0 [iparepwq36]
  364     2 root     IW<      0  0.0   0  0.0 [ipawq33]
  365     2 root     IW<      0  0.0   0  0.0 [iparepwq33]
  366     2 root     IW<      0  0.0   0  0.0 [ipawq32]
  368     2 root     IW<      0  0.0   0  0.0 [iparepwq32]
  369     2 root     IW<      0  0.0   0  0.0 [ipa_ut_dbgfs]
  371     2 root     IW<      0  0.0   0  0.0 [clnt_req]
  628     2 root     IW<      0  0.0   0  0.0 [at_usb0]
  630     2 root     IW<      0  0.0   0  0.0 [at_usb1]
  634     2 root     IW<      0  0.0   0  0.0 [rmnet_ctrl]
  639     2 root     IW<      0  0.0   0  0.0 [android_mbim]
  641     2 root     IW<      0  0.0   0  0.0 [dpl_ctrl]
  644     2 root     IW<      0  0.0   0  0.0 [gps]
  646     2 root     IW<      0  0.0   0  0.0 [qdss]
  651     2 root     IW<      0  0.0   0  0.0 [qdss_mdm]
  660     2 root     SW       0  0.0   0  0.0 [glink_modem]
  687     2 root     SW       0  0.0   0  0.0 [kworker/u2:9]
  688     2 root     IW<      0  0.0   0  0.0 [kworker/0:1H]
  901     2 root     IW<      0  0.0   0  0.0 [ipawq34]
  902     2 root     IW<      0  0.0   0  0.0 [iparepwq34]
  903     2 root     IW<      0  0.0   0  0.0 [ipawq35]
  904     2 root     IW<      0  0.0   0  0.0 [iparepwq35]
 1390     2 root     SW       0  0.0   0  0.0 [file-storage]
 1596     2 root     SW       0  0.0   0  0.0 [irq/45-arm-smmu]
