TIME,FREE_MEM,PID,RSS,OOM_SCORE,OOM_SCORE_ADJ,OOM_ADJ,CMD,CLIENT_COUNT,USB(RNDIS)
06/30/2022_01:10:51,559,32169,568,0,0,0,awk,0,0
06/30/2022_01:14:04,559,575,408,0,0,0,sleep,0,0
06/30/2022_01:14:04,559,600,620,0,0,0,ps,0,0
06/30/2022_01:14:04,559,601,568,0,0,0,awk,0,0
06/30/2022_01:14:04,559,1314,5936,7,0,0,modem2d,0,0
06/30/2022_01:17:18,559,1606,408,0,0,0,sleep,0,0
06/30/2022_01:17:18,559,1631,620,0,0,0,ps,0,0
06/30/2022_01:17:18,559,1632,568,0,0,0,awk,0,0
06/30/2022_01:20:32,559,2503,408,0,0,0,sleep,0,0
06/30/2022_01:20:32,559,2535,620,0,0,0,ps,0,0
06/30/2022_01:20:32,559,2536,568,0,0,0,awk,0,0
06/30/2022_01:23:45,559,3392,408,0,0,0,sleep,0,0
06/30/2022_01:23:45,559,3410,620,0,0,0,ps,0,0
06/30/2022_01:23:45,559,3411,568,0,0,0,awk,0,0
06/30/2022_01:26:59,559,4262,408,0,0,0,sleep,0,0
06/30/2022_01:26:59,559,4274,620,0,0,0,ps,0,0
06/30/2022_01:26:59,559,4275,568,0,0,0,awk,0,0
06/30/2022_01:30:12,559,5119,408,0,0,0,sleep,0,0
